Trade Date,Maturity Date,Tenor,Face Value (GHS),Coupon Rate(%),AVG Price(%),Settlement Amount (GHS)
02/09/2011,25/07/2016,16s,200000,14.25,0,0
02/09/2011,14/01/2013,13s,11500000,19,0,0
05/09/2011,06/02/2014,14s,10000000,13,0,0
06/09/2011,14/01/2013,13s,250000,19,0,0
06/09/2011,30/09/2013,13s,1812260,13.3,0,0
06/09/2011,06/02/2014,14s,7500000,13,0,0
07/09/2011,03/11/2013,13s,1650000,14.99,0,0
07/09/2011,06/03/2013,13s,8400000,15.65,0,0
07/09/2011,14/01/2013,13s,16616000,19,0,0
08/09/2011,30/09/2013,13s,190000,13.3,0,0
08/09/2011,06/02/2014,14s,1560000,13,0,0
08/09/2011,14/01/2013,13s,5000000,19,0,0
09/09/2011,14/01/2013,13s,10000000,19,0,0
12/09/2011,06/03/2013,13s,1000000,15.65,0,0
13/09/2011,03/11/2013,13s,350000,14.99,0,0
14/09/2011,30/09/2013,13s,20000000,13.3,0,0
14/09/2011,14/01/2013,13s,10000000,19,0,0
14/09/2011,06/02/2014,14s,10000000,13,0,0
15/09/2011,14/01/2013,13s,10000000,19,0,0
15/09/2011,30/09/2013,13s,10000000,13.3,0,0
15/09/2011,06/02/2014,14s,5000000,13,0,0
16/09/2011,06/02/2014,14s,700000,13,0,0
20/09/2011,06/02/2014,14s,4410000,13,0,0
20/09/2011,30/09/2013,13s,5150000,13.3,0,0
22/09/2011,14/01/2013,13s,250000,19,0,0
22/09/2011,06/03/2013,13s,5000000,15.65,0,0
26/09/2011,06/03/2013,13s,6722000,15.65,0,0
26/09/2011,30/09/2013,13s,5000000,13.3,0,0
27/09/2011,30/09/2013,13s,25800000,13.3,0,0
27/09/2011,06/03/2013,13s,13444000,15.65,0,0
28/09/2011,25/07/2016,16s,10500000,14.25,0,0
28/09/2011,30/09/2013,13s,14460000,13.3,0,0
29/09/2011,06/02/2014,14s,18100000,13,0,0
29/09/2011,30/09/2013,13s,15130000,13.3,0,0
03/10/2011,14/01/2013,13s,3100,19,0,0
05/10/2011,14/01/2013,13s,12350,19,0,0
06/10/2011,30/09/2013,13s,19500000,13.3,0,0
10/10/2011,14/01/2013,13s,12000,19,0,0
11/10/2011,28/04/2014,14s,5000000,12.39,0,0
11/10/2011,17/02/2014,14s,9500000,13.45,0,0
11/10/2011,06/02/2014,14s,30000000,13,0,0
11/10/2011,03/11/2013,13s,3150000,14.99,0,0
11/10/2011,29/07/2013,13s,750000,14.25,0,0
12/10/2011,30/09/2013,13s,5000000,13.3,0,0
12/10/2011,25/07/2016,16s,9000000,14.25,0,0
12/10/2011,17/02/2014,14s,12600000,13.45,0,0
12/10/2011,14/01/2013,13s,3260000,19,0,0
12/10/2011,28/04/2014,14s,5000000,12.39,0,0
12/10/2011,06/02/2014,14s,30000000,13,0,0
12/10/2011,03/11/2013,13s,3150000,14.99,0,0
14/10/2011,14/01/2013,13s,8750000,19,0,0
14/10/2011,03/11/2013,13s,5110000,14.99,0,0
17/10/2011,06/02/2014,14s,7500000,13,0,0
17/10/2011,28/04/2014,14s,7500000,12.39,0,0
18/10/2011,25/07/2016,16s,5000000,14.25,0,0
18/10/2011,06/02/2014,14s,7500000,13,0,0
18/10/2011,28/04/2014,14s,7500000,12.39,0,0
18/10/2011,13/10/2014,14s,4000000,14,0,0
18/10/2011,14/01/2013,13s,12000,19,0,0
19/10/2011,29/07/2013,13s,1000000,14.25,0,0
19/10/2011,14/01/2013,13s,5500000,19,0,0
19/10/2011,30/09/2013,13s,1410000,13.3,0,0
20/10/2011,03/11/2013,13s,900000,14.99,0,0
20/10/2011,06/11/2012,12s,700000,13.67,0,0
20/10/2011,30/09/2013,13s,12130000,13.3,0,0
25/10/2011,14/01/2013,13s,905000,19,0,0
25/10/2011,25/07/2016,16s,1489248,14.25,0,0
26/10/2011,30/09/2013,13s,12130000,13.3,0,0
02/11/2011,15/12/2011,11s,100000,14.47,0,0
02/11/2011,06/02/2014,14s,7500000,13,0,0
04/11/2011,06/02/2014,14s,2500000,13,0,0
08/11/2011,06/02/2014,14s,5000000,13,0,0
14/11/2011,14/01/2013,13s,4620150,19,0,0
15/11/2011,14/01/2013,13s,2376000,19,0,0
15/11/2011,12/10/2012,12s,5000000,15,0,0
16/11/2011,12/10/2012,12s,2500000,15,0,0
16/11/2011,14/01/2013,13s,15500000,19,0,0
18/11/2011,14/01/2013,13s,10000000,19,0,0
21/11/2011,14/01/2013,13s,17000000,19,0,0
