Date/tenure,19s,20s,21s,22s,23s,24s,ESLA 24,25s,26s,27s,ESLA 27,28s,29s,ESLA 29,ESLA 31,31s,32s,33s,34s,39s,Total volumes traded,,,,,,,,,,,,,,,,,,,,,,
09/08/2019,66092267,27299824,20597458,28686474,18100000,57893091,0,15031850,375507,,98490,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
13/08/2019,13000000,17892066,58753377,2000000,18000000,3904143,0,30000000,10000000,,226081,0,0,0,0,,0,,,,94309584,,,,,,,,,,,,,,,,,,,,,,
14/08/2019,7000499,454030,35330112,300000,571722,4737425,0,31000000,10000000,,394907,0,470517,0,0,,0,,,,135294524,,,,,,,,,,,,,,,,,,,,,,
15/08/2019,11104019,9933983,65559000,53030000,3000000,35879524,0,21000000,20000000,,4000000,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,23830220,22103342,40572582,2760000,627417,21499382,2000000,149822,20000000,,0,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
19/08/2019,30000000,16723691,49143984,4000000,216117,19012797,2000000,4000000,125605,,6000000,4000,0,0,0,,0,,85000000,,294615202,,,,,,,,,,,,,,,,,,,,,,
20/08/2019,48000000,9024098,18272461,10879887,336316,10970499,228855,0,393500,,77194,0,0,0,0,,0,,20000000,,402129681,,,,,,,,,,,,,,,,,,,,,,
21/08/2019,68177797,7351176,20585661,10527014,474938,5927720,3000000,28631,0,,68120,0,202000,0,0,,0,,0,,148773166,,,,,,,,,,,,,,,,,,,,,,
22/08/2019,88029804,9881482,15049329,20048359,195353,9771810,3000000,8000000,0,,2000000,0,664500,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
23/08/2019,32276129,3150000,20520000,655582,530101,1319037,150000,0,200000,,177928,0,654500,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
26/08/2019,70006392,6002000,15503800,738536,147924,374368,4000000,2000000,3000000,,77356,0,0,0,0,,67000000,,0,,130760693,,,,,,,,,,,,,,,,,,,,,,
