Trade Date,Currency,Pairs code,Buying,Selling,Mid Rate,
17-Jun-16,Euro,EURGHS,4.3855,4.3885,4.387,
20-Jun-16,USD,USDGHS,3.9004,3.9044,3.9024,
20-Jun-16,Pound Sterling,GBPGHS,5.727,5.7336,5.7303,
20-Jun-16,Euro,EURGHS,4.4152,4.4176,4.4164,
21-Jun-16,USD,USDGHS,3.9012,3.9051,3.9032,
21-Jun-16,Pound Sterling,GBPGHS,5.7258,5.7323,5.7291,
21-Jun-16,Euro,EURGHS,4.3974,4.3993,4.3984,
22-Jun-16,USD,USDGHS,3.9029,3.9068,3.9049,
22-Jun-16,Pound Sterling,GBPGHS,5.724,5.7324,5.7282,
22-Jun-16,Euro,EURGHS,4.4071,4.4109,4.409,
23-Jun-16,USD,USDGHS,3.905,3.909,3.907,
23-Jun-16,Pound Sterling,GBPGHS,5.7853,5.7927,5.789,
23-Jun-16,Euro,EURGHS,4.4413,4.444,4.4427,
24-Jun-16,USD,USDGHS,3.9059,3.9098,3.9079,
24-Jun-16,Pound Sterling,GBPGHS,5.321,5.3287,5.3249,
24-Jun-16,Euro,EURGHS,4.3405,4.3457,4.3431,
28-Jun-16,USD,USDGHS,3.917,3.9209,3.919,
28-Jun-16,Pound Sterling,GBPGHS,5.2092,5.216,5.2126,
28-Jun-16,Euro,EURGHS,4.3266,4.3304,4.3285,
29-Jun-16,USD,USDGHS,3.921,3.9249,3.923,
29-Jun-16,Pound Sterling,GBPGHS,5.3008,5.3096,5.3052,
29-Jun-16,Euro,EURGHS,4.361,4.3636,4.3623,
30-Jun-16,USD,USDGHS,3.924,3.9279,3.926,
30-Jun-16,Pound Sterling,GBPGHS,5.2036,5.2123,5.208,
30-Jun-16,Euro,EURGHS,4.3439,4.348,4.346,
04-Jul-16,USD,USDGHS,3.924,3.9279,3.926,
04-Jul-16,Pound Sterling,GBPGHS,5.2146,5.221,5.2178,
04-Jul-16,Euro,EURGHS,4.371,4.3749,4.373,
05-Jul-16,USD,USDGHS,3.9276,3.9315,3.9296,
05-Jul-16,Pound Sterling,GBPGHS,5.1129,5.1196,5.1163,
05-Jul-16,Euro,EURGHS,4.3511,4.3527,4.3519,
07-Jul-16,USD,USDGHS,3.9287,3.9327,3.9307,
07-Jul-16,Pound Sterling,GBPGHS,5.0763,5.0826,5.0795,
07-Jul-16,Euro,EURGHS,4.3472,4.3504,4.3488,
11-Jul-16,USD,USDGHS,3.9332,3.9372,3.9352,
11-Jul-16,Pound Sterling,GBPGHS,5.1069,5.114,5.1105,
11-Jul-16,Euro,EURGHS,4.3474,4.3494,4.3484,
12-Jul-16,USD,USDGHS,3.9345,3.9385,3.9365,
12-Jul-16,Pound Sterling,GBPGHS,5.2085,5.2165,5.2125,
12-Jul-16,Euro,EURGHS,4.3575,4.3609,4.3592,
13-Jul-16,USD,USDGHS,3.937,3.9408,3.9389,
13-Jul-16,Pound Sterling,GBPGHS,5.1964,5.2042,5.2003,
13-Jul-16,Euro,EURGHS,4.3752,4.3777,4.3765,
14-Jul-16,USD,USDGHS,3.9385,3.9425,3.9405,
14-Jul-16,Pound Sterling,GBPGHS,5.2492,5.2565,5.2529,
